City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
332,farap,39.1704,63.6116,28.0,36,0,5.14,TM,1689710020
333,arkhara,49.4212,130.0842,16.84,93,0,1.46,RU,1689710020
334,barra de santo antonio,-9.4047,-35.5072,26.6,83,2,3.64,BR,1689710020
335,quepos,9.4236,-84.1652,28.77,75,68,2.38,CR,1689710020
336,nagqu,31.5,92.0,2.91,94,91,1.57,CN,1689710021
337,den burg,53.0542,4.7972,18.33,79,100,1.03,NL,1689710021
338,enkhuizen,52.7,5.2833,19.44,80,100,4.48,NL,1689710021
339,ribeira do pombal,-10.8344,-38.5358,26.33,56,8,5.03,BR,1689709766
340,parksville,49.3163,-124.3195,26.52,51,87,2.06,CA,1689709838
341,guiuan,11.0333,125.7247,27.22,80,87,5.26,PH,1689710022
342,lospalos,-8.5186,127.0025,19.97,89,15,2.6,TL,1689710022
343,ilomantsi,62.6716,30.9328,12.77,87,95,1.51,FI,1689710022
344,senekal,-28.3197,27.6208,9.77,37,0,1.26,ZA,1689710022
345,alice springs,-23.7,133.8833,4.75,81,0,2.06,AU,1689710022
346,mirandopolis,-21.1336,-51.1017,25.94,51,100,3.36,BR,1689710023
347,labytnangi,66.6572,66.4183,16.6,70,58,3.1,RU,1689710023
348,baker city,44.7749,-117.8344,25.33,31,0,4.12,US,1689710028
349,port arthur,38.8,121.2667,23.12,82,0,2.14,CN,1689710028
350,broken hill,-31.95,141.4333,6.5,91,0,3.46,AU,1689710029
351,uturoa,-16.7333,-151.4333,26.16,76,48,8.11,PF,1689709940
352,yamethin,20.4333,96.15,24.56,90,41,3.3,MM,1689710029
353,chinde,26.8418,88.0763,19.54,77,100,1.96,NP,1689710029
354,ust-nera,64.5667,143.2,19.15,45,100,1.85,RU,1689709944
355,yelabuga,55.7613,52.0649,16.75,89,62,1.75,RU,1689710030
356,sur,22.5667,59.5289,33.42,51,100,3.73,OM,1689709981
357,dolores,-36.3132,-57.6792,8.24,51,76,1.0,AR,1689710030
358,kronstadt,45.6486,25.6061,20.57,43,0,1.74,RO,1689710030
359,acarau,-2.8856,-40.12,27.83,69,8,8.15,BR,1689709856
360,khovd,48.0056,91.6419,19.71,47,100,1.35,MN,1689709982
361,evanston,42.0411,-87.6901,28.23,56,75,2.57,US,1689710031
362,gunjur,13.2019,-16.7339,25.04,100,75,2.57,GM,1689710031
